pet_id,date,valid_wear_hours
step_onset_boundary_3x_tugou_08,2026-01-01,7.53
step_onset_boundary_3x_tugou_08,2026-01-02,16.4
step_onset_boundary_3x_tugou_08,2026-01-03,17.99
step_onset_boundary_3x_tugou_08,2026-01-04,20.26
step_onset_boundary_3x_tugou_08,2026-01-05,19.24
step_onset_boundary_3x_tugou_08,2026-01-06,8.54
step_onset_boundary_3x_tugou_08,2026-01-07,19.35
step_onset_boundary_3x_tugou_08,2026-01-08,17.25
step_onset_boundary_3x_tugou_08,2026-01-09,19.01
step_onset_boundary_3x_tugou_08,2026-01-10,19.61
step_onset_boundary_3x_tugou_08,2026-01-11,5.58
step_onset_boundary_3x_tugou_08,2026-01-12,19.27
step_onset_boundary_3x_tugou_08,2026-01-13,18.09
step_onset_boundary_3x_tugou_08,2026-01-14,16.32
step_onset_boundary_3x_tugou_08,2026-01-15,19.93
step_onset_boundary_3x_tugou_08,2026-01-16,2.66
step_onset_boundary_3x_tugou_08,2026-01-17,18.67
step_onset_boundary_3x_tugou_08,2026-01-18,22.03
step_onset_boundary_3x_tugou_08,2026-01-19,20.34
step_onset_boundary_3x_tugou_08,2026-01-20,20.16
step_onset_boundary_3x_tugou_08,2026-01-21,8.19
step_onset_boundary_3x_tugou_08,2026-01-22,22.11
step_onset_boundary_3x_tugou_08,2026-01-23,20.01
step_onset_boundary_3x_tugou_08,2026-01-24,18.19
step_onset_boundary_3x_tugou_08,2026-01-25,16.81
step_onset_boundary_3x_tugou_08,2026-01-26,8.55
step_onset_boundary_3x_tugou_08,2026-01-27,20.56
step_onset_boundary_3x_tugou_08,2026-01-28,21.64
step_onset_boundary_3x_tugou_08,2026-01-29,18.45
step_onset_boundary_3x_tugou_08,2026-01-30,17.77
step_onset_boundary_3x_tugou_08,2026-01-31,3.45
step_onset_boundary_3x_tugou_08,2026-02-01,18.91
step_onset_boundary_3x_tugou_08,2026-02-02,20.86
step_onset_boundary_3x_tugou_08,2026-02-03,18.63
step_onset_boundary_3x_tugou_08,2026-02-04,18.65
step_onset_boundary_3x_tugou_08,2026-02-05,2.91
step_onset_boundary_3x_tugou_08,2026-02-06,21.62
step_onset_boundary_3x_tugou_08,2026-02-07,16.23
