pet_id,date,valid_wear_hours
step_onset_mild_late_maltese_03,2026-01-01,19.31
step_onset_mild_late_maltese_03,2026-01-02,19.02
step_onset_mild_late_maltese_03,2026-01-03,16.4
step_onset_mild_late_maltese_03,2026-01-04,16.77
step_onset_mild_late_maltese_03,2026-01-05,19.9
step_onset_mild_late_maltese_03,2026-01-06,22.53
step_onset_mild_late_maltese_03,2026-01-07,16.83
step_onset_mild_late_maltese_03,2026-01-08,20.22
step_onset_mild_late_maltese_03,2026-01-09,18.81
step_onset_mild_late_maltese_03,2026-01-10,21.48
step_onset_mild_late_maltese_03,2026-01-11,21.71
step_onset_mild_late_maltese_03,2026-01-12,19.89
step_onset_mild_late_maltese_03,2026-01-13,17.25
step_onset_mild_late_maltese_03,2026-01-14,19.31
step_onset_mild_late_maltese_03,2026-01-15,21.22
step_onset_mild_late_maltese_03,2026-01-16,17.17
step_onset_mild_late_maltese_03,2026-01-17,18.85
step_onset_mild_late_maltese_03,2026-01-18,22.49
step_onset_mild_late_maltese_03,2026-01-19,19.11
step_onset_mild_late_maltese_03,2026-01-20,17.53
step_onset_mild_late_maltese_03,2026-01-21,16.6
step_onset_mild_late_maltese_03,2026-01-22,16.46
step_onset_mild_late_maltese_03,2026-01-23,18.63
step_onset_mild_late_maltese_03,2026-01-24,20.16
step_onset_mild_late_maltese_03,2026-01-25,17.11
step_onset_mild_late_maltese_03,2026-01-26,19.04
step_onset_mild_late_maltese_03,2026-01-27,19.63
step_onset_mild_late_maltese_03,2026-01-28,16.73
step_onset_mild_late_maltese_03,2026-01-29,19.67
step_onset_mild_late_maltese_03,2026-01-30,16.28
step_onset_mild_late_maltese_03,2026-01-31,20.94
step_onset_mild_late_maltese_03,2026-02-01,18.87
step_onset_mild_late_maltese_03,2026-02-02,22.88
step_onset_mild_late_maltese_03,2026-02-03,17.34
step_onset_mild_late_maltese_03,2026-02-04,22.86
step_onset_mild_late_maltese_03,2026-02-05,16.73
step_onset_mild_late_maltese_03,2026-02-06,21.59
step_onset_mild_late_maltese_03,2026-02-07,20.71
step_onset_mild_late_maltese_03,2026-02-08,21.76
step_onset_mild_late_maltese_03,2026-02-09,18.8
step_onset_mild_late_maltese_03,2026-02-10,16.77
step_onset_mild_late_maltese_03,2026-02-11,19.81
step_onset_mild_late_maltese_03,2026-02-12,20.97
step_onset_mild_late_maltese_03,2026-02-13,16.78
step_onset_mild_late_maltese_03,2026-02-14,18.74
