pet_id,date,valid_wear_hours
step_onset_mild_night_focused_goldendoodle_10,2026-01-01,18.95
step_onset_mild_night_focused_goldendoodle_10,2026-01-02,16.28
step_onset_mild_night_focused_goldendoodle_10,2026-01-03,17.9
step_onset_mild_night_focused_goldendoodle_10,2026-01-04,22.92
step_onset_mild_night_focused_goldendoodle_10,2026-01-05,22.42
step_onset_mild_night_focused_goldendoodle_10,2026-01-06,21.01
step_onset_mild_night_focused_goldendoodle_10,2026-01-07,20.18
step_onset_mild_night_focused_goldendoodle_10,2026-01-08,16.54
step_onset_mild_night_focused_goldendoodle_10,2026-01-09,21.82
step_onset_mild_night_focused_goldendoodle_10,2026-01-10,17.22
step_onset_mild_night_focused_goldendoodle_10,2026-01-11,17.45
step_onset_mild_night_focused_goldendoodle_10,2026-01-12,19.47
step_onset_mild_night_focused_goldendoodle_10,2026-01-13,17.76
step_onset_mild_night_focused_goldendoodle_10,2026-01-14,16.14
step_onset_mild_night_focused_goldendoodle_10,2026-01-15,18.58
step_onset_mild_night_focused_goldendoodle_10,2026-01-16,17.23
step_onset_mild_night_focused_goldendoodle_10,2026-01-17,18.23
step_onset_mild_night_focused_goldendoodle_10,2026-01-18,18.54
step_onset_mild_night_focused_goldendoodle_10,2026-01-19,17.49
step_onset_mild_night_focused_goldendoodle_10,2026-01-20,21.27
step_onset_mild_night_focused_goldendoodle_10,2026-01-21,17.72
step_onset_mild_night_focused_goldendoodle_10,2026-01-22,21.74
step_onset_mild_night_focused_goldendoodle_10,2026-01-23,21.53
step_onset_mild_night_focused_goldendoodle_10,2026-01-24,18.81
step_onset_mild_night_focused_goldendoodle_10,2026-01-25,22.62
step_onset_mild_night_focused_goldendoodle_10,2026-01-26,22.21
step_onset_mild_night_focused_goldendoodle_10,2026-01-27,18.61
step_onset_mild_night_focused_goldendoodle_10,2026-01-28,20.16
step_onset_mild_night_focused_goldendoodle_10,2026-01-29,20.28
step_onset_mild_night_focused_goldendoodle_10,2026-01-30,17.01
step_onset_mild_night_focused_goldendoodle_10,2026-01-31,17.87
step_onset_mild_night_focused_goldendoodle_10,2026-02-01,17.41
step_onset_mild_night_focused_goldendoodle_10,2026-02-02,18.29
step_onset_mild_night_focused_goldendoodle_10,2026-02-03,22.62
