pet_id,date,valid_wear_hours
step_onset_moderate_early_tugou_04,2026-01-01,20.24
step_onset_moderate_early_tugou_04,2026-01-02,22.03
step_onset_moderate_early_tugou_04,2026-01-03,21.02
step_onset_moderate_early_tugou_04,2026-01-04,18.96
step_onset_moderate_early_tugou_04,2026-01-05,17.07
step_onset_moderate_early_tugou_04,2026-01-06,18.99
step_onset_moderate_early_tugou_04,2026-01-07,22.97
step_onset_moderate_early_tugou_04,2026-01-08,17.86
step_onset_moderate_early_tugou_04,2026-01-09,21.54
step_onset_moderate_early_tugou_04,2026-01-10,21.95
step_onset_moderate_early_tugou_04,2026-01-11,16.96
step_onset_moderate_early_tugou_04,2026-01-12,16.65
step_onset_moderate_early_tugou_04,2026-01-13,17.52
step_onset_moderate_early_tugou_04,2026-01-14,21.34
step_onset_moderate_early_tugou_04,2026-01-15,17.89
step_onset_moderate_early_tugou_04,2026-01-16,16.6
step_onset_moderate_early_tugou_04,2026-01-17,19.94
step_onset_moderate_early_tugou_04,2026-01-18,16.46
step_onset_moderate_early_tugou_04,2026-01-19,21.09
step_onset_moderate_early_tugou_04,2026-01-20,19.37
step_onset_moderate_early_tugou_04,2026-01-21,20.6
step_onset_moderate_early_tugou_04,2026-01-22,21.09
step_onset_moderate_early_tugou_04,2026-01-23,16.41
step_onset_moderate_early_tugou_04,2026-01-24,20.39
step_onset_moderate_early_tugou_04,2026-01-25,19.89
step_onset_moderate_early_tugou_04,2026-01-26,20.45
step_onset_moderate_early_tugou_04,2026-01-27,19.88
step_onset_moderate_early_tugou_04,2026-01-28,19.58
step_onset_moderate_early_tugou_04,2026-01-29,20.51
step_onset_moderate_early_tugou_04,2026-01-30,22.94
