pet_id,date,valid_wear_hours
step_onset_moderate_loose_collar_tugou_11,2026-01-01,22.44
step_onset_moderate_loose_collar_tugou_11,2026-01-02,19.38
step_onset_moderate_loose_collar_tugou_11,2026-01-03,9.58
step_onset_moderate_loose_collar_tugou_11,2026-01-04,18.99
step_onset_moderate_loose_collar_tugou_11,2026-01-05,16.96
step_onset_moderate_loose_collar_tugou_11,2026-01-06,16.38
step_onset_moderate_loose_collar_tugou_11,2026-01-07,22.66
step_onset_moderate_loose_collar_tugou_11,2026-01-08,20.79
step_onset_moderate_loose_collar_tugou_11,2026-01-09,21.56
step_onset_moderate_loose_collar_tugou_11,2026-01-10,11.01
step_onset_moderate_loose_collar_tugou_11,2026-01-11,21.16
step_onset_moderate_loose_collar_tugou_11,2026-01-12,19.62
step_onset_moderate_loose_collar_tugou_11,2026-01-13,19.93
step_onset_moderate_loose_collar_tugou_11,2026-01-14,22.12
step_onset_moderate_loose_collar_tugou_11,2026-01-15,20.22
step_onset_moderate_loose_collar_tugou_11,2026-01-16,17.96
step_onset_moderate_loose_collar_tugou_11,2026-01-17,13.01
step_onset_moderate_loose_collar_tugou_11,2026-01-18,17.06
step_onset_moderate_loose_collar_tugou_11,2026-01-19,16.64
step_onset_moderate_loose_collar_tugou_11,2026-01-20,19.25
step_onset_moderate_loose_collar_tugou_11,2026-01-21,19.37
step_onset_moderate_loose_collar_tugou_11,2026-01-22,22.93
step_onset_moderate_loose_collar_tugou_11,2026-01-23,16.75
step_onset_moderate_loose_collar_tugou_11,2026-01-24,9.2
step_onset_moderate_loose_collar_tugou_11,2026-01-25,18.35
step_onset_moderate_loose_collar_tugou_11,2026-01-26,19.62
step_onset_moderate_loose_collar_tugou_11,2026-01-27,18.3
step_onset_moderate_loose_collar_tugou_11,2026-01-28,17.39
step_onset_moderate_loose_collar_tugou_11,2026-01-29,19.63
step_onset_moderate_loose_collar_tugou_11,2026-01-30,17.41
step_onset_moderate_loose_collar_tugou_11,2026-01-31,10.15
step_onset_moderate_loose_collar_tugou_11,2026-02-01,21.23
step_onset_moderate_loose_collar_tugou_11,2026-02-02,17.71
