pet_id,date,valid_wear_hours
step_onset_severe_high_baseline_goldendoodle_05,2026-01-01,19.08
step_onset_severe_high_baseline_goldendoodle_05,2026-01-02,16.4
step_onset_severe_high_baseline_goldendoodle_05,2026-01-03,16.45
step_onset_severe_high_baseline_goldendoodle_05,2026-01-04,21.49
step_onset_severe_high_baseline_goldendoodle_05,2026-01-05,19.04
step_onset_severe_high_baseline_goldendoodle_05,2026-01-06,16.73
step_onset_severe_high_baseline_goldendoodle_05,2026-01-07,17.29
step_onset_severe_high_baseline_goldendoodle_05,2026-01-08,19.88
step_onset_severe_high_baseline_goldendoodle_05,2026-01-09,18.08
step_onset_severe_high_baseline_goldendoodle_05,2026-01-10,20.96
step_onset_severe_high_baseline_goldendoodle_05,2026-01-11,19.47
step_onset_severe_high_baseline_goldendoodle_05,2026-01-12,18.63
step_onset_severe_high_baseline_goldendoodle_05,2026-01-13,19.78
step_onset_severe_high_baseline_goldendoodle_05,2026-01-14,20.2
step_onset_severe_high_baseline_goldendoodle_05,2026-01-15,18.97
step_onset_severe_high_baseline_goldendoodle_05,2026-01-16,18.4
step_onset_severe_high_baseline_goldendoodle_05,2026-01-17,20.97
step_onset_severe_high_baseline_goldendoodle_05,2026-01-18,22.77
step_onset_severe_high_baseline_goldendoodle_05,2026-01-19,20.86
step_onset_severe_high_baseline_goldendoodle_05,2026-01-20,19.99
step_onset_severe_high_baseline_goldendoodle_05,2026-01-21,17.65
step_onset_severe_high_baseline_goldendoodle_05,2026-01-22,16.79
step_onset_severe_high_baseline_goldendoodle_05,2026-01-23,19.7
step_onset_severe_high_baseline_goldendoodle_05,2026-01-24,19.51
step_onset_severe_high_baseline_goldendoodle_05,2026-01-25,21.19
step_onset_severe_high_baseline_goldendoodle_05,2026-01-26,22.01
step_onset_severe_high_baseline_goldendoodle_05,2026-01-27,22.97
step_onset_severe_high_baseline_goldendoodle_05,2026-01-28,22.27
step_onset_severe_high_baseline_goldendoodle_05,2026-01-29,16.34
step_onset_severe_high_baseline_goldendoodle_05,2026-01-30,16.57
step_onset_severe_high_baseline_goldendoodle_05,2026-01-31,22.56
step_onset_severe_high_baseline_goldendoodle_05,2026-02-01,17.07
step_onset_severe_high_baseline_goldendoodle_05,2026-02-02,22.22
step_onset_severe_high_baseline_goldendoodle_05,2026-02-03,17.76
step_onset_severe_high_baseline_goldendoodle_05,2026-02-04,16.53
step_onset_severe_high_baseline_goldendoodle_05,2026-02-05,16.15
step_onset_severe_high_baseline_goldendoodle_05,2026-02-06,21.59
step_onset_severe_high_baseline_goldendoodle_05,2026-02-07,19.78
step_onset_severe_high_baseline_goldendoodle_05,2026-02-08,17.48
step_onset_severe_high_baseline_goldendoodle_05,2026-02-09,19.44
