pet_id,date,valid_wear_hours
step_onset_severe_late_clustered_goldendoodle_13,2026-01-01,18.88
step_onset_severe_late_clustered_goldendoodle_13,2026-01-02,16.91
step_onset_severe_late_clustered_goldendoodle_13,2026-01-03,17.81
step_onset_severe_late_clustered_goldendoodle_13,2026-01-04,18.0
step_onset_severe_late_clustered_goldendoodle_13,2026-01-05,20.84
step_onset_severe_late_clustered_goldendoodle_13,2026-01-06,18.41
step_onset_severe_late_clustered_goldendoodle_13,2026-01-07,19.75
step_onset_severe_late_clustered_goldendoodle_13,2026-01-08,22.13
step_onset_severe_late_clustered_goldendoodle_13,2026-01-09,17.18
step_onset_severe_late_clustered_goldendoodle_13,2026-01-10,21.25
step_onset_severe_late_clustered_goldendoodle_13,2026-01-11,22.71
step_onset_severe_late_clustered_goldendoodle_13,2026-01-12,20.88
step_onset_severe_late_clustered_goldendoodle_13,2026-01-13,20.19
step_onset_severe_late_clustered_goldendoodle_13,2026-01-14,22.23
step_onset_severe_late_clustered_goldendoodle_13,2026-01-15,20.87
step_onset_severe_late_clustered_goldendoodle_13,2026-01-16,17.86
step_onset_severe_late_clustered_goldendoodle_13,2026-01-17,22.19
step_onset_severe_late_clustered_goldendoodle_13,2026-01-18,21.72
step_onset_severe_late_clustered_goldendoodle_13,2026-01-19,21.88
step_onset_severe_late_clustered_goldendoodle_13,2026-01-20,16.83
step_onset_severe_late_clustered_goldendoodle_13,2026-01-21,17.09
step_onset_severe_late_clustered_goldendoodle_13,2026-01-22,21.81
step_onset_severe_late_clustered_goldendoodle_13,2026-01-23,22.84
step_onset_severe_late_clustered_goldendoodle_13,2026-01-24,17.95
step_onset_severe_late_clustered_goldendoodle_13,2026-01-25,22.76
step_onset_severe_late_clustered_goldendoodle_13,2026-01-26,22.32
step_onset_severe_late_clustered_goldendoodle_13,2026-01-27,21.53
step_onset_severe_late_clustered_goldendoodle_13,2026-01-28,18.72
step_onset_severe_late_clustered_goldendoodle_13,2026-01-29,19.71
step_onset_severe_late_clustered_goldendoodle_13,2026-01-30,21.34
step_onset_severe_late_clustered_goldendoodle_13,2026-01-31,17.81
step_onset_severe_late_clustered_goldendoodle_13,2026-02-01,18.33
step_onset_severe_late_clustered_goldendoodle_13,2026-02-02,20.94
step_onset_severe_late_clustered_goldendoodle_13,2026-02-03,19.1
step_onset_severe_late_clustered_goldendoodle_13,2026-02-04,19.53
step_onset_severe_late_clustered_goldendoodle_13,2026-02-05,22.97
step_onset_severe_late_clustered_goldendoodle_13,2026-02-06,21.95
step_onset_severe_late_clustered_goldendoodle_13,2026-02-07,21.42
step_onset_severe_late_clustered_goldendoodle_13,2026-02-08,17.73
step_onset_severe_late_clustered_goldendoodle_13,2026-02-09,17.88
step_onset_severe_late_clustered_goldendoodle_13,2026-02-10,16.44
step_onset_severe_late_clustered_goldendoodle_13,2026-02-11,19.55
step_onset_severe_late_clustered_goldendoodle_13,2026-02-12,19.14
step_onset_severe_late_clustered_goldendoodle_13,2026-02-13,22.83
step_onset_severe_late_clustered_goldendoodle_13,2026-02-14,18.82
step_onset_severe_late_clustered_goldendoodle_13,2026-02-15,22.79
step_onset_severe_late_clustered_goldendoodle_13,2026-02-16,19.17
step_onset_severe_late_clustered_goldendoodle_13,2026-02-17,17.49
step_onset_severe_late_clustered_goldendoodle_13,2026-02-18,19.82
step_onset_severe_late_clustered_goldendoodle_13,2026-02-19,19.93
