pet_id,date,valid_wear_hours
step_onset_severe_low_baseline_maltese_06,2026-01-01,16.73
step_onset_severe_low_baseline_maltese_06,2026-01-02,21.5
step_onset_severe_low_baseline_maltese_06,2026-01-03,17.53
step_onset_severe_low_baseline_maltese_06,2026-01-04,17.89
step_onset_severe_low_baseline_maltese_06,2026-01-05,18.55
step_onset_severe_low_baseline_maltese_06,2026-01-06,17.68
step_onset_severe_low_baseline_maltese_06,2026-01-07,19.99
step_onset_severe_low_baseline_maltese_06,2026-01-08,20.22
step_onset_severe_low_baseline_maltese_06,2026-01-09,21.81
step_onset_severe_low_baseline_maltese_06,2026-01-10,21.15
step_onset_severe_low_baseline_maltese_06,2026-01-11,21.31
step_onset_severe_low_baseline_maltese_06,2026-01-12,17.59
step_onset_severe_low_baseline_maltese_06,2026-01-13,20.56
step_onset_severe_low_baseline_maltese_06,2026-01-14,21.72
step_onset_severe_low_baseline_maltese_06,2026-01-15,19.64
step_onset_severe_low_baseline_maltese_06,2026-01-16,20.1
step_onset_severe_low_baseline_maltese_06,2026-01-17,22.31
step_onset_severe_low_baseline_maltese_06,2026-01-18,18.19
step_onset_severe_low_baseline_maltese_06,2026-01-19,19.98
step_onset_severe_low_baseline_maltese_06,2026-01-20,16.1
step_onset_severe_low_baseline_maltese_06,2026-01-21,21.5
step_onset_severe_low_baseline_maltese_06,2026-01-22,17.93
step_onset_severe_low_baseline_maltese_06,2026-01-23,21.99
step_onset_severe_low_baseline_maltese_06,2026-01-24,16.25
step_onset_severe_low_baseline_maltese_06,2026-01-25,20.41
step_onset_severe_low_baseline_maltese_06,2026-01-26,16.34
step_onset_severe_low_baseline_maltese_06,2026-01-27,19.79
step_onset_severe_low_baseline_maltese_06,2026-01-28,20.79
step_onset_severe_low_baseline_maltese_06,2026-01-29,18.24
step_onset_severe_low_baseline_maltese_06,2026-01-30,22.85
step_onset_severe_low_baseline_maltese_06,2026-01-31,18.66
step_onset_severe_low_baseline_maltese_06,2026-02-01,17.29
step_onset_severe_low_baseline_maltese_06,2026-02-02,17.59
step_onset_severe_low_baseline_maltese_06,2026-02-03,17.97
step_onset_severe_low_baseline_maltese_06,2026-02-04,16.28
step_onset_severe_low_baseline_maltese_06,2026-02-05,19.23
step_onset_severe_low_baseline_maltese_06,2026-02-06,20.35
step_onset_severe_low_baseline_maltese_06,2026-02-07,17.98
step_onset_severe_low_baseline_maltese_06,2026-02-08,16.5
step_onset_severe_low_baseline_maltese_06,2026-02-09,16.71
