date,pet_id,delta_score,cluster_score,persistence_score,interrupt_score,total,tier,red_flags,delta_detail,insufficient_baseline,bootstrap_mode
2026-06-01,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-02,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-03,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-04,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-05,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-06,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-07,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-08,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-09,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-10,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-11,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-12,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-13,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-14,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
2026-06-15,dog_severe_bootstrap,30,0,0,30,60,C2,"['bootstrap_absolute_severe', 'interrupt_or_long_scratch']","{'by': 'bootstrap_absolute', 'level': 'severe'}",False,True
