date,pet_id,delta_score,cluster_score,persistence_score,interrupt_score,total,tier,red_flags,delta_detail,insufficient_baseline,bootstrap_mode
2026-06-01,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-02,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-03,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-04,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-05,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-06,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-07,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-08,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-09,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-10,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-11,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-12,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-13,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-14,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-15,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-16,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-17,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-18,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-19,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-20,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-21,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'bootstrap_absolute', 'level': 'infrequent_or_occasional'}",False,True
2026-06-22,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-06-23,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-06-24,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-06-25,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-06-26,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-06-27,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-06-28,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-06-29,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-06-30,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-07-01,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-07-02,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-07-03,dog_sudden_spike,5,0,0,0,5,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-07-04,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
2026-07-05,dog_sudden_spike,0,0,0,0,0,C0,[],"{'by': 'count', 'ratio': 3.0}",False,False
